Substance_Name,Allergy_Count,Medicine_Count
"Cetylpyridinium Chloride Bp",0,10
"Metoprolol Tartrate",0,209
"Metoprolol Tartrate Ph. Eur.",0,6
"Metoprolol Succinate (Ph. Eur.)",0,5
"Gentamicin Sulfate",0,128
"Valproate Semisodium",0,9
"Bupivacaine Hydrochloride Monohydrate",0,36
"Follitropin Alfa",0,16
"Magaldrate Anhydrous",0,11
"Betamethasone Valerate (Ph. Eur.)",0,9
"Dry Extract From Ribwort Plantain (Der 3-5: 1)",0,21
"Extraction Solvent: Ethanol 20% (M/M)",0,22
"Benazepril Hydrochloride",0,22
"Cat Epithelia",0,9
"Crested Dogstail Pollen",0,1
"Phleum Pratense Pollen",0,12
"Histamine Dihydrochloride Ph. Eur.",0,1
"Bendamustine Hydrochloride",0,142
Gemcitabine,0,138
Docetaxel,0,89
"Epirubicin Hydrochloride",0,115
"Bendazac Lysinate",0,3
Bendamustine,0,2
"Bendamustine Hydrochloride Monohydrate",0,3
"Fludarabine Phosphate",0,76
"Vinorelbine Tartrate",0,45
"Bendroflumethiazide Ph. Eur.",0,1
"Nonacog Alfa",0,4
Rifampicin,0,76
Etanercept,0,21
Benfotiamine,0,83
Belimumab,0,8
"Phenoxymethylpenicillin Benzathine",0,12
"Doxylamine Hydrogen Succinate",0,115
"Benzylpenicillin Sodium",0,66
"Procyclidine Hydrochloride",0,15
Sucrose,0,7
"Hedera Helix",0,8
"Pelargonium Root",0,2
"Benzathine Benzylpenicillin",0,28
Benzbromarone,0,4
"Benzathine Benzylpenicillin Tetrahydrate",0,2
Benzylpenicillin,0,18
"Benzylpenicillin Potassium",0,15
Sulisobenzone,0,1
"Benzoxonium Chloride",0,14
Benzylhemiformal,0,1
Brolucizumab,0,4
"Tetryzoline Hydrochloride",0,52
"Colocynthis D3",0,1
"Betula Pendula D1",0,2
"Pulsatilla D4",0,4
"Oxalic Acid D8",0,1
"Colocynthis D 6",0,7
"Ononis Spinosa D2",0,2
"Acidum Oxalicum D8",0,1
"Berberis Vulgaris E Fructibus Ferm 33c Ø (Hab",0,3
"Urtica Dioica E Planta Tota Ferm 33c Dil. D2 (Hab",0,1
"Berberis Vulgaris Dil. D2",0,6
"Lycopodium Trit. D2",0,2
"Urtica (Hab 34) Ø (Hab",0,1
"V. 2a)",0,1
"Berberis Vulgaris Mother Tincture",0,2
"Berberis Vulgaris E Radice Ferm 33d Dil. D2 (Hab",0,4
"Hypericum Perforatum Ex Herba Ferm 33c Dil. D2 (Hab",0,4
"Berberis Vulgaris",0,2
"Planta Tota Rh Dil. D1",0,1
"Urtica Urens",0,5
"Planta Tota Rh Dil. D2",0,1
"Apis Mellifica Ex Animale Toto Gl Dil. D7 (Hab",0,3
"Atropa Belladonna Ex Herba Ferm 33a Dil. D3 (Hab",0,3
"Atropa Belladonna Ex Herba Ferm 33a Dil. D5 (Hab",0,1
"Berberis Vulgaris E Fructibus Ferm 33c Dil. D3 (Hab",0,1
"Nicotiana Tabacum E Foliis Ferm 33b Dil. D9 (Hab",0,9
"Berberis Vulgaris E Radice Ferm 33d Ø (Hab",0,4
"Berberis Vulgaris Ex Herba Ferm 33c Ø (Hab",0,2
"Berberis Vulgaris E Fructibus Ferm 33c Dil. D2 (Hab",0,3
"Quarz Dil. D19 Aquos.",0,4
"Sepia Officinalis E Volumine Bursae Rec. Gl Dil. D6 (Hab",0,1
"Urtica Urens Ex Herba Ferm 33c Dil. D2 (Hab",0,3
"Veratrum Album Dil. D30",0,5
"Veratrum Album Dil. D200",0,4
"Citrullus Colocynthis Dil. D10",0,3
"Citrullus Colocynthis Dil. D30",0,1
Zinc,0,19
Cobalt,0,9
Copper,0,11
Chromium,0,7
"Hawthorn Leaf And Flower Liquid Extract",0,1
Quantified,0,6
"Human Normal Immunoglobulin",0,272
"C1 Esterase Inhibitor (Human)",0,64
Bovine,0,2
"Protein C",0,68
"Human Coagulation Factor Vii",0,101
"Protein S",0,67
"Human Rabies Immunoglobulin",0,4
"Ethylenediamine Thioctate",0,4
Praziquantel,0,4
Tasonermin,0,4
"Methotrexate Disodium",0,38
"Betaxolol Hydrochloride",0,59
"Valerian Root Dry Extract (5.3-6.6:1)",0,3
"Extraction Agent: Methanol 45 % (M/M)",0,3
"Dry Extract Of Hop Strobile (5",0,5
5–6,0,1
"Hypericum Perforatum",0,18
"Gelsemium Sempervirens Dil. D5",0,3
"Kalium Phosphoricum Dil. D4",0,1
"Strychnos Nux-Vomica Dil. D5",0,1
"Acidum Silicicum Dil. D9",0,2
"Passiflorae Herba",0,27
"Inotuzumab Ozogamicin",0,4
"Ropeginterferon Alfa-2b",0,4
"Hydroxocobalamin Acetate",0,18
"Magnesium Aspartate Dihydrate",0,22
"Magnesium Citrate",0,41
"Betamethasone 17-Valerate 21-Acetate",0,2
Betaxolol,0,13
Sotalol,0,3
"Sotalol Hydrochloride",0,73
"Pepsin Powder",0,2
"Betaine Hydrochloride",0,2
"Betamethasone Dipropionate (Ph. Eur.)",0,7
"Salicylic Acid Ph. Eur.",0,14
Povidone,0,258
Iodinated,0,232
"Iodinated Ph. Eur.",0,13
"Recombinant Interferon Beta-1b",0,4
"Fusidic Acid Ph. Eur.",0,1
"Levobunolol Hydrochloride",0,4
"Betahistine Hydrochloride",0,13
"Betahistine Mesilate",0,6
Metoprolol,0,8
"Metoprolol Succinate",0,96
"Betamethasone Bp",0,1
"Betamethasone Valerate Bp",0,1
Clioquinol,0,23
Octenidine,0,1
Ceftriaxone,0,239
"Betamethasone Sodium Phosphate Ph. Eur",0,3
"Neomycin Sulphate Ph. Eur.",0,3
"Dry Extract Of St. John's Wort (5-7:1)",0,11
"Argentum Metallicum Dil. D7",0,5
"Arnica Montana E Planta Tota Ferm 33c Dil. D14 (Hab",0,5
"Betula Pendula Ferm 34e Dil. D3",0,1
"Vs. 23a)",0,4
"Filipendula Ulmaria Ferm 34c Dil. D2",0,2
Prasugrel,0,90
Bexarotene,0,14
"Trolamine Salicylate",0,1
"Recombinant Neisseria Meningitidis Group B Nhba Fusion Protein Produced In E. Coli Cells By Recombinant Dna Technology Adsorbed On Aluminium Hydroxide",0,5
"Recombinant Neisseria Meningitidis Group B Nada Protein Produced In E. Coli Cells By Recombinant Dna Technology Adsorbed On Aluminium Hydroxide",0,5
"Recombinant Neisseria Meningitidis Group B Fhbp Fusion Protein Produced In E. Coli Cells By Recombinant Dna Technology Adsorbed On Aluminium Hydroxide",0,5
"Outer Membrane Vesicles (Omv) From Neisseria Meningitidis Group B Strain Nz98/254 Measured As Amount Of Total Protein Containing The Pora P1.4 Adsorbed On Aluminium Hydroxide",0,1
Nirsevimab,0,4
Acoramidis,0,4
Spiramycin,0,39
Trolamine,0,10
Ivermectin,0,148
Bibrocathol,0,19
Clarithromycin,0,405
Carmustine,0,111
Lactulose,0,192
"Zofenopril Calcium",0,56
"Tenofovir Alafenamide",0,45
Bictegravir,0,4
"Dehydrocholic Acid",0,5
"Homatropine Methylbromide",0,2
"Bilastine Monohydrate",0,23
Borneol,0,33
Camphene,0,33
Menthone,0,17
"Acidum Salicylicum D2",0,1
"Natrium Carbonicum D2",0,1
"Natrium Chloratum D2",0,1
"Natrum Phosphoricum D1",0,1
"Ginkgo Biloba Leaf Extract",0,5
"Ginkgo Leaf Dry Extract",0,33
"Refined And Quantified",0,38
"Ginkgo Leaf Extract",0,2
"Refined And Quantified Dry Extract From Ginkgo Leaf (35-67:1)",0,1
"Quantified To 17",0,1
6-21,0,2
"6 Mg Of Flavonoids Expressed As Flavone Glycosides",0,2
"Dry Extract Of Ginkgo Leaf (40-50:1)",0,1
"Corresponding To 17.6-21.6 Mg Of Flavone Glycosides",0,1
"2.2-2.7 Mg Of Ginkgolides A",0,1
Imatinib,0,182
"Sorbitan Trioleate",0,7
Bimekizumab,0,4
"Dry Extract Of Ginkgo Biloba Leaves (35-67:1)",0,31
"Extraction Solvent: Acetone 60% ( M / M)",0,31
"Eucalyptus Leaf",0,4
"Plantaginis Lanceolatae Folium",0,40
"Tiliae Flos",0,42
"Sambuci Flos",0,15
"Taraxici Herba Cum Radice",0,10
"Liquid Extract From Fresh Aloe Arborescens Leaf (Der 1:4)",0,2
Larvae,0,3
"Live (Lucilia Sericata)",0,3
"Ginkgo Biloba L.",0,4
"Folium (Dry Extract)",0,4
"Mepivacaine Hydrochloride",0,124
"Tincture From Hawthorn Leaf And Flower (1:10)",0,1
"Extraction Solvent: Ethanol 65% (V/V)",0,21
"Tincture From Motherwort Herb (1:10)",0,1
Cefpodoxime,0,27
"Calcium Fluoratum Trit D6",0,4
"Calcium Fluoratum Trit. D12",0,1
"Natrium Sulfuricum D12",0,6
"Natrium Sulfuricum Trit. D6",0,1
"Silicea D12",0,3
"Silicea D6",0,3
"Calcium Sulfuricum Trit. D12",0,1
"Calcium Sulfuricum Trit. D6",0,1
"Kalium Arsenicosum D6",0,2
"Kalium Bromatum Trit. D6",0,3
"Kalium Iodatum Trit. D12",0,2
"Kalium Iodatum Trit. D6",0,3
"Lithium Chloratum D12",0,1
"Lithium Muriaticum Trit. D6",0,1
"Manganum Sulfuricum Trit. D12",0,1
"Manganum Sulfuricum Trit. D6",0,2
"Calcium Sulfuratum D12",0,1
"Calcium Sulfuratum Trit. D6",0,1
"Cuprum Arsenicosum D12",0,4
"Cuprum Arsenicosum D6",0,1
"Calcium Phosphoricum D12",0,21
"Aluminium-Kalium-Sulfuricum D6",0,1
"Zincum Chloratum D6",0,1
"Zincum Chloratum Trit. D12",0,1
"Calcium Carbonicum D6",0,1
"Calcium Carbonicum Hahnemanni D12",0,7
"Natrium Bicarbonicum D6",0,1
"Arsenum Iodatum Trit. D6",0,1
"Ferrum Phosphoricum Trit D12",0,2
"Ferrum Phosphoricum Trit D3",0,3
"Ferrum Phosphoricum Trit. D6",0,7
"Kalium Chloratum Trit. D6",0,2
"Kalium Chloratum D12",0,1
"Kalium Phosphoricum D12",0,2
"Kalium Sulfuricum Trit. D6",0,1
"Kalium Sulfuricum Trit. D12",0,1
"Magnesium Phosphoricum D12",0,1
"Magnesium Phosphoricum Trit. D6",0,3
"Natrium Chloratum Trit. D12",0,1
"Natrium Chloratum Trit. D6",0,1
"Natrium Phosphoricum Trit. D6",0,1
"Natrium Phosphoricum D12",0,2
"Magnesium Phosphoricum D6",0,4
"Zincum Chloratum D12",0,4
"Arsenum Iodatum D12",0,2
"Calcarea Phosphorica D6",0,5
"Calcium Sulfuricum D6",0,3
"Natrium Tetrachloroauratum D12",0,2
"Kalium Arsenicosum D12",0,2
"Natrium Phosphoricum D6",0,4
"Natrium Chloratum D6",0,7
"Acidum Silicicum D12",0,4
"Calcium Carbonicum D12",0,2
"Manganum Sulfuricum D12",0,2
"Aluminium-Kalium-Sulfuricum D12",0,1
"Lithium Muriaticum D6",0,1
"Ferrum Phosphoricum Dil. D12",0,3
Cocarboxylase,0,3
"Vitamin B6",0,1
"Cethexonium Bromide",0,4
"Procainamide Hydrochloride",0,1
"Calcium Ascorbate",0,2
"Cyclamen Purpurascens Trit. D 3",0,5
"Melilotus Officinalis Trit. D 2",0,1
"Primula Veris Trit. D 3",0,1
"Cyclamen Purpurascens Dil. D 6",0,1
"Iris Vesicolor Dil. D 2",0,1
"Pulsatilla Pratensis Dil. D 10",0,3
"Sepia Officinalis Dil. D 10",0,1
"Ferrum-Quarz Trit. D2",0,5
Cladribine,0,32
Cefadroxil,0,20
"Dry Extract From Restharrow Root (6-9:1)",0,1
"Dry Extract From Garden Bean Pod (8-14:1)",0,1
"Cefazolin Sodium",0,75
"Fenofibrate Micronised",0,21
"Enterococcus Faecium Sf68",0,2
"Saccharomyces Boulardii",0,5
"Saccharomyces Boulardii cncm I-745 Lyophilized",0,45
"Etilefrine Hydrochloride",0,15
"Extract From Fresh Garlic Bulbs (2-3:1)",0,2
"Extraction Solvent: Refined Rapeseed Oil",0,2
"Dry Extract Of Mistletoe Herb (4-6:1)",0,1
"Bacillus Clausii",0,6
"Spores Of Poly-Antibiotic Resistant",0,2
"Iceland Moss Extract (2-4:1)",0,1
Aqueous,0,1
"Cimicifuga Dil D1",0,2
"Zinc Sulphate Monohydrate",0,12
"Magnesium Carbonate",0,22
